algorithm,dataset,attack,evaluations,indicator,value,dir
cars,cifar10,FGSM,0,hv,135471.5105246636,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,0,r2,0.18291212676330643,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,0,hv_2obj,45.7664433186379,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,40,hv,137562.90346216864,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,40,r2,0.1791427096356935,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,40,hv_2obj,46.38299657159551,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,80,hv,138469.15421935325,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,80,r2,0.1772586241112301,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,80,hv_2obj,46.68471321865565,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,120,hv,139386.60263926163,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,120,r2,0.17553502446121266,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,120,hv_2obj,46.98950045143861,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,160,hv,140030.13337875475,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,160,r2,0.17437450450041364,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,160,hv_2obj,47.20502322095788,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,200,hv,140711.25723375787,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,200,r2,0.1733382793202556,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,200,hv_2obj,47.37695687022878,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,240,hv,141162.38299158067,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,240,r2,0.17244634107161394,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,240,hv_2obj,47.52762197770803,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,280,hv,142020.59581275165,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,280,r2,0.1716078531659271,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,280,hv_2obj,47.68119375867229,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,320,hv,142310.3301916411,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,320,r2,0.17098680765344804,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,320,hv_2obj,47.77812346278566,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,360,hv,142875.46599785355,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,360,r2,0.16991943687179853,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,360,hv_2obj,47.96924261323284,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,400,hv,143278.01436820798,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,400,r2,0.16914974027093455,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,400,hv_2obj,48.10465802646417,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,440,hv,143622.4753207583,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,440,r2,0.1685072511476275,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,440,hv_2obj,48.21929928656909,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,480,hv,144107.06513774866,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,480,r2,0.1676175408922031,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,480,hv_2obj,48.380875880936394,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,520,hv,144353.73590238512,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,520,r2,0.16712666006826218,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,520,hv_2obj,48.46362172387976,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,560,hv,144534.4579590844,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,560,r2,0.16678742009427355,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,560,hv_2obj,48.52438973349536,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,600,hv,144707.76406687073,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,600,r2,0.16641984831964646,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,600,hv_2obj,48.58253040999551,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,640,hv,145081.65545607172,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,640,r2,0.16575244641108405,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,640,hv_2obj,48.70826515223781,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,680,hv,145432.18000752293,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,680,r2,0.1651124277975898,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,680,hv_2obj,48.825754030479516,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,720,hv,145644.14790581845,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,720,r2,0.16469293744236982,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,720,hv_2obj,48.897073469914886,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
cars,cifar10,FGSM,760,hv,145929.77812655017,results/cars/cifar10/2026-09-10_12-51-30_15798821/search/
