Key,Value
max_f1,0.024586435351010873
max_f2,0.029708125952169324
max_f3,46.72
max_f4,0.1674
min_f1,0.01776977692057353
min_f2,0.024259314636869322
min_f3,14.7384
min_f4,0.0519
hyp_log,"[175425.3261415936, 175581.61128268202, 175594.401509359, 175603.91994110492, 175612.04662087452, 175619.0795307234, 175629.77353123244, 175636.32757349763, 175646.74604155985, 175655.56014300097, 175659.3810683709, 175665.732570907, 175672.94400378066, 175682.70783315194, 175798.6846808605]"
hyp2_log,"[35.72436367672567, 35.72737118187826, 35.72994743290052, 35.731904699645774, 35.73353039847233, 35.734979140593964, 35.73712324423142, 35.73844607702336, 35.74057642898724, 35.7423689428779, 35.743150273167295, 35.74443928587346, 35.745907762025425, 35.74790393058873, 35.74825617166864]"
r2_log,"[np.float64(0.00351976645741353), np.float64(0.003465051180587854), np.float64(0.0034476840361942164), np.float64(0.003437012466977366), np.float64(0.0034249083661052533), np.float64(0.0034171259769536317), np.float64(0.003401033243174343), np.float64(0.003392600759102175), np.float64(0.0033767597836372814), np.float64(0.0033640349601784247), np.float64(0.0033596143614910293), np.float64(0.003350781701145168), np.float64(0.00334132325710453), np.float64(0.0033293417201185572), np.float64(0.003303210877876171)]"
lr_log,[]
