algorithm,dataset,attack,evaluations,indicator,value,dir
moras,cifar10,FGSM,40,hv,176056.75479894204,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,40,r2,0.002434922665501112,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,40,hv_2obj,35.90250889132305,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,80,hv,176777.08367174343,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,80,r2,0.0022192861999766333,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,80,hv_2obj,35.90250889132305,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,120,hv,177048.33418231073,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,120,r2,0.0021239587347689605,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,120,hv_2obj,35.90250889132305,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,160,hv,177415.56691036187,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,160,r2,0.0020069569192613,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,160,hv_2obj,35.904898455574546,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,200,hv,177415.73037081122,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,200,r2,0.002006046720509996,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,200,hv_2obj,35.904898455574546,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,240,hv,177775.08355218833,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,240,r2,0.0018955028259957734,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,240,hv_2obj,35.90489848069018,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,280,hv,178834.82385179744,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,280,r2,0.0016165412016052073,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,280,hv_2obj,35.90489848069018,results/moras/cifar10/2026-07-28_11-43-56_18906049/search/
moras,cifar10,FGSM,40,hv,176060.18423293385,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,40,r2,0.002430083809751237,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,40,hv_2obj,35.903268060377684,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,80,hv,177361.7552427382,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,80,r2,0.002039214266514627,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,80,hv_2obj,35.903268060377684,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,120,hv,177361.89369605144,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,120,r2,0.002039214266514627,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,120,hv_2obj,35.903268060377684,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,160,hv,178101.90444887575,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,160,r2,0.0018213664689926655,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,160,hv_2obj,35.903268060377684,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,200,hv,178149.15487610304,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,200,r2,0.0017692842384880569,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,200,hv_2obj,35.90848037716951,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,240,hv,178151.93637354832,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,240,r2,0.0017662628512019021,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,240,hv_2obj,35.90902997557642,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,280,hv,178426.81123906188,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,280,r2,0.0016839089901563632,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,280,hv_2obj,35.90902997557642,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,320,hv,178430.16614918935,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,320,r2,0.0016786737337669186,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,320,hv_2obj,35.90962186967068,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,360,hv,178439.78251324283,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,360,r2,0.0016769707290803797,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,360,hv_2obj,35.90962186967068,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,400,hv,178466.06410168437,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
moras,cifar10,FGSM,400,r2,0.0016736279422826534,results/moras/cifar10/2026-07-28_22-58-32_18906049/search/
