Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[143352.66330852266, 143611.04393969537, 144301.20871576213, 144397.25992304878, 144871.56902142253, 145241.95371757823, 145518.27036700989, 145958.76064058684, 146124.87243725103, 146630.84609735338, 146758.8129367796, 147359.69663649495, 147365.19531010906, 147397.58204291578, 147859.59073173985, 148065.61170711747, 148185.66522346536, 148470.14761408226, 148768.77362062802, 148837.95810929185, 149045.13202660906, 149098.50147295254, 149222.22700570102, 149665.77561682244, 149742.1485249016, 149780.65835634072, 150013.9258082801, 150118.71534001318, 150216.88954205834, 150504.00224227188, 150668.33744521718]"
hyp2_log,"[48.42284933850961, 48.511387161621705, 48.713203851120625, 48.74347406176633, 48.87851200441951, 49.00159007305043, 49.094749719149576, 49.2462633149838, 49.29796919198972, 49.41853227411427, 49.460519111287155, 49.656155726840076, 49.656702659838004, 49.667695943737705, 49.724087214780624, 49.79075551450518, 49.831799344150824, 49.93006197800293, 50.03065467430292, 50.052033484209666, 50.12129563803751, 50.13806656740046, 50.15436210902717, 50.257721931936466, 50.28162587885847, 50.2945002669396, 50.3730501683294, 50.40830683240536, 50.44022819268013, 50.490544267601194, 50.547469819774115]"
r2_log,"[np.float64(0.16777683141107808), np.float64(0.16724692180166673), np.float64(0.16609333326698308), np.float64(0.16595239064247558), np.float64(0.1651604068471207), np.float64(0.16453288118937942), np.float64(0.1639060692420228), np.float64(0.1630506203112056), np.float64(0.16280625545378477), np.float64(0.16208081018317713), np.float64(0.16183826172007235), np.float64(0.16078816930916254), np.float64(0.16078816930916254), np.float64(0.1607168077663874), np.float64(0.16040886127920867), np.float64(0.16005022510316833), np.float64(0.15982975098782526), np.float64(0.1592050992574727), np.float64(0.15870303349755693), np.float64(0.15856353415770197), np.float64(0.1582300508426795), np.float64(0.15812104666479881), np.float64(0.15801338521785016), np.float64(0.15742858907171411), np.float64(0.157273171690462), np.float64(0.15718878878522408), np.float64(0.15681344685830206), np.float64(0.1566468208261054), np.float64(0.15647775493573216), np.float64(0.15622081584161476), np.float64(0.1558447888418441)]"
