algorithm,dataset,attack,evaluations,indicator,value,dir
nsganetv2,cifar10,FGSM,40,hv,135243.0845200382,search-cifar10-18906049
nsganetv2,cifar10,FGSM,40,r2,0.8870272823226747,search-cifar10-18906049
nsganetv2,cifar10,FGSM,40,hv_2obj,35.89472325491941,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,hv,135250.48483665375,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,r2,0.9031977625232521,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,hv_2obj,35.89679635165495,search-cifar10-18906049
nsganetv2,cifar10,FGSM,40,hv,135248.74593992607,search-cifar10-18906049
nsganetv2,cifar10,FGSM,40,r2,0.903614353063541,search-cifar10-18906049
nsganetv2,cifar10,FGSM,40,hv_2obj,35.89620600064117,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,hv,135248.745990865,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,r2,0.903614353063541,search-cifar10-18906049
nsganetv2,cifar10,FGSM,80,hv_2obj,35.8962060133084,search-cifar10-18906049
nsganetv2,cifar10,FGSM,120,hv,135248.74602313663,search-cifar10-18906049
nsganetv2,cifar10,FGSM,120,r2,0.8919912199113558,search-cifar10-18906049
nsganetv2,cifar10,FGSM,120,hv_2obj,35.896206021264305,search-cifar10-18906049
nsganetv2,cifar10,FGSM,160,hv,135248.74610089464,search-cifar10-18906049
nsganetv2,cifar10,FGSM,160,r2,0.8808570723678436,search-cifar10-18906049
nsganetv2,cifar10,FGSM,160,hv_2obj,35.89620604188928,search-cifar10-18906049
nsganetv2,cifar10,FGSM,200,hv,135248.7461443571,search-cifar10-18906049
nsganetv2,cifar10,FGSM,200,r2,0.8808570723678436,search-cifar10-18906049
nsganetv2,cifar10,FGSM,200,hv_2obj,35.89620605408064,search-cifar10-18906049
nsganetv2,cifar10,FGSM,240,hv,135248.74615832715,search-cifar10-18906049
nsganetv2,cifar10,FGSM,240,r2,0.8808570723678436,search-cifar10-18906049
nsganetv2,cifar10,FGSM,240,hv_2obj,35.896206057981594,search-cifar10-18906049
nsganetv2,cifar10,FGSM,280,hv,135250.57351509327,search-cifar10-18906049
nsganetv2,cifar10,FGSM,280,r2,0.8847737117905778,search-cifar10-18906049
nsganetv2,cifar10,FGSM,280,hv_2obj,35.896704705374255,search-cifar10-18906049
nsganetv2,cifar10,FGSM,320,hv,135250.57351509327,search-cifar10-18906049
nsganetv2,cifar10,FGSM,320,r2,0.8847737117905778,search-cifar10-18906049
nsganetv2,cifar10,FGSM,320,hv_2obj,35.896704705374255,search-cifar10-18906049
nsganetv2,cifar10,FGSM,360,hv,135250.57354437638,search-cifar10-18906049
nsganetv2,cifar10,FGSM,360,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,360,hv_2obj,35.8967047135882,search-cifar10-18906049
nsganetv2,cifar10,FGSM,400,hv,135250.57354437638,search-cifar10-18906049
nsganetv2,cifar10,FGSM,400,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,400,hv_2obj,35.8967047135882,search-cifar10-18906049
nsganetv2,cifar10,FGSM,440,hv,135250.57354456463,search-cifar10-18906049
nsganetv2,cifar10,FGSM,440,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,440,hv_2obj,35.8967047135882,search-cifar10-18906049
nsganetv2,cifar10,FGSM,480,hv,135250.57356402234,search-cifar10-18906049
nsganetv2,cifar10,FGSM,480,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,480,hv_2obj,35.89670471903863,search-cifar10-18906049
nsganetv2,cifar10,FGSM,520,hv,135250.57356402234,search-cifar10-18906049
nsganetv2,cifar10,FGSM,520,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,520,hv_2obj,35.89670471903863,search-cifar10-18906049
nsganetv2,cifar10,FGSM,560,hv,135250.5735646459,search-cifar10-18906049
nsganetv2,cifar10,FGSM,560,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,560,hv_2obj,35.89670471903863,search-cifar10-18906049
nsganetv2,cifar10,FGSM,600,hv,135250.57360255934,search-cifar10-18906049
nsganetv2,cifar10,FGSM,600,r2,0.8830181020500121,search-cifar10-18906049
nsganetv2,cifar10,FGSM,600,hv_2obj,35.896704728349256,search-cifar10-18906049
nsganetv2,cifar100,FGSM,40,hv,131934.26932466193,search-cifar100-18906049
nsganetv2,cifar100,FGSM,40,r2,0.9261200378333123,search-cifar100-18906049
nsganetv2,cifar100,FGSM,40,hv_2obj,35.759668401987156,search-cifar100-18906049
nsganetv2,cifar100,FGSM,80,hv,131936.39148056236,search-cifar100-18906049
nsganetv2,cifar100,FGSM,80,r2,0.9080510565985953,search-cifar100-18906049
nsganetv2,cifar100,FGSM,80,hv_2obj,35.7602761557519,search-cifar100-18906049
nsganetv2,cifar100,FGSM,120,hv,131937.57083740152,search-cifar100-18906049
nsganetv2,cifar100,FGSM,120,r2,0.8893582921892371,search-cifar100-18906049
nsganetv2,cifar100,FGSM,120,hv_2obj,35.760614392326104,search-cifar100-18906049
nsganetv2,cifar100,FGSM,160,hv,131937.58681185276,search-cifar100-18906049
nsganetv2,cifar100,FGSM,160,r2,0.8893582921892371,search-cifar100-18906049
nsganetv2,cifar100,FGSM,160,hv_2obj,35.760614392326104,search-cifar100-18906049
nsganetv2,cifar100,FGSM,200,hv,131938.26042010088,search-cifar100-18906049
nsganetv2,cifar100,FGSM,200,r2,0.8958452365144947,search-cifar100-18906049
nsganetv2,cifar100,FGSM,200,hv_2obj,35.760761187090665,search-cifar100-18906049
nsganetv2,cifar100,FGSM,240,hv,131938.26181225874,search-cifar100-18906049
nsganetv2,cifar100,FGSM,240,r2,0.8958452365144947,search-cifar100-18906049
nsganetv2,cifar100,FGSM,240,hv_2obj,35.760761187090665,search-cifar100-18906049
nsganetv2,cifar100,FGSM,280,hv,131938.5407364942,search-cifar100-18906049
nsganetv2,cifar100,FGSM,280,r2,0.8885177979692086,search-cifar100-18906049
nsganetv2,cifar100,FGSM,280,hv_2obj,35.760840108479336,search-cifar100-18906049
nsganetv2,cifar100,FGSM,320,hv,131938.5415498551,search-cifar100-18906049
nsganetv2,cifar100,FGSM,320,r2,0.8885177979692086,search-cifar100-18906049
nsganetv2,cifar100,FGSM,320,hv_2obj,35.760840108479336,search-cifar100-18906049
nsganetv2,cifar100,FGSM,360,hv,131938.5415498551,search-cifar100-18906049
nsganetv2,cifar100,FGSM,360,r2,0.8885177979692086,search-cifar100-18906049
nsganetv2,cifar100,FGSM,360,hv_2obj,35.760840108479336,search-cifar100-18906049
nsganetv2,cifar100,FGSM,400,hv,131938.74005205138,search-cifar100-18906049
nsganetv2,cifar100,FGSM,400,r2,0.8885177979692086,search-cifar100-18906049
nsganetv2,cifar100,FGSM,400,hv_2obj,35.7608969565406,search-cifar100-18906049
nsganetv2,cifar100,FGSM,440,hv,131938.8934081268,search-cifar100-18906049
nsganetv2,cifar100,FGSM,440,r2,0.8890565615839116,search-cifar100-18906049
nsganetv2,cifar100,FGSM,440,hv_2obj,35.76093852413857,search-cifar100-18906049
nsganetv2,cifar100,FGSM,480,hv,131939.25215384449,search-cifar100-18906049
nsganetv2,cifar100,FGSM,480,r2,0.9062124851370257,search-cifar100-18906049
nsganetv2,cifar100,FGSM,480,hv_2obj,35.761017069211185,search-cifar100-18906049
nsganetv2,cifar100,FGSM,520,hv,131939.25215384449,search-cifar100-18906049
nsganetv2,cifar100,FGSM,520,r2,0.9062124851370257,search-cifar100-18906049
nsganetv2,cifar100,FGSM,520,hv_2obj,35.761017069211185,search-cifar100-18906049
nsganetv2,cifar100,FGSM,560,hv,131941.44144099977,search-cifar100-18906049
nsganetv2,cifar100,FGSM,560,r2,0.9062124851370257,search-cifar100-18906049
nsganetv2,cifar100,FGSM,560,hv_2obj,35.76164434294172,search-cifar100-18906049
nsganetv2,cifar100,FGSM,600,hv,131941.44168863338,search-cifar100-18906049
nsganetv2,cifar100,FGSM,600,r2,0.9062124851370257,search-cifar100-18906049
nsganetv2,cifar100,FGSM,600,hv_2obj,35.76164434294172,search-cifar100-18906049
nsganetv2,cifar10,FGSM,40,hv,135258.58284008456,search-cifar100-18906049-31072026
