algorithm,dataset,attack,evaluations,indicator,value,dir
moras,cifar10,FGSM,40,hv,150519.92019030396,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,40,r2,0.1502017123077291,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,40,hv_2obj,51.334538901077465,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,80,hv,151928.0337938608,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,80,r2,0.1475398630191993,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,80,hv_2obj,51.73550862567094,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,120,hv,151969.99274463806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,120,r2,0.1475398630191993,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,120,hv_2obj,51.73550862567094,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,160,hv,152580.69121166444,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,160,r2,0.1475398630191993,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,160,hv_2obj,51.73550862567094,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,200,hv,153150.43621115695,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,200,r2,0.14735075390959534,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,200,hv_2obj,51.76383542144604,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,240,hv,153639.21661907737,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,240,r2,0.14735075390959534,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,240,hv_2obj,51.76383542144604,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,280,hv,153971.37335449242,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,280,r2,0.14684126559995572,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,280,hv_2obj,51.873561914190276,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,320,hv,154066.56412583336,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,320,r2,0.1466769113765304,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,320,hv_2obj,51.898440764260734,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,360,hv,154295.28273719823,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,360,r2,0.1466769113765304,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,360,hv_2obj,51.898440764260734,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,400,hv,154307.52150589612,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,400,r2,0.1466769113765304,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,400,hv_2obj,51.8991021995568,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,440,hv,155115.84721230168,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,440,r2,0.14560913673938763,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,440,hv_2obj,52.0990724691397,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,480,hv,155255.6359327506,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,480,r2,0.14560913673938763,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,480,hv_2obj,52.0990724691397,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,520,hv,155263.3858278337,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,520,r2,0.14560913673938763,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,520,hv_2obj,52.0990724691397,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,560,hv,155413.22641978995,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,560,r2,0.1453736225987982,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,560,hv_2obj,52.14993547848685,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,600,hv,155972.42428550514,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,600,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,600,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,640,hv,156116.36380399266,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,640,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,640,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,680,hv,156200.45938188292,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,680,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,680,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,hv,156215.5404545374,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,720,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,hv,156215.59116595561,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,r2,0.14413890562471593,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,760,hv_2obj,52.342154812293806,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,800,hv,156463.67572477186,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
moras,cifar10,FGSM,800,r2,0.1437497774177423,results/moras/cifar10/2026-09-06_00-04-08_18906049/search/
