algorithm,dataset,attack,evaluations,indicator,value,dir
sms-emoa,cifar10,FGSM,40,hv,151132.09147103992,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,40,r2,0.1493629113920637,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,40,hv_2obj,51.54115731520892,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,80,hv,151253.11803159924,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,80,r2,0.1493629113920637,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,80,hv_2obj,51.54115731520892,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,120,hv,151497.44422694747,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,120,r2,0.1493629113920637,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,120,hv_2obj,51.54115731520892,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,160,hv,151978.38133882187,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,160,r2,0.14884579743427678,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,160,hv_2obj,51.61860106065907,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,200,hv,154549.38855165668,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,200,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,200,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,240,hv,154588.83545183754,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,240,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,240,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,280,hv,154721.22146794386,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,280,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,280,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,320,hv,155157.95737319582,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,320,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,320,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,360,hv,155612.3546893141,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,360,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,360,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,400,hv,155654.29736374476,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,400,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,400,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,440,hv,155684.77635372418,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,440,r2,0.14463990939246876,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,440,hv_2obj,52.34649135032801,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,480,hv,155913.76396535517,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,480,r2,0.14423860216903658,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,480,hv_2obj,52.41988220862105,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,520,hv,156023.00266280601,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,520,r2,0.14423860216903658,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,520,hv_2obj,52.41988220862105,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,560,hv,156197.56349029305,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,560,r2,0.14423860216903658,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,560,hv_2obj,52.41988220862105,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,600,hv,156331.07372005383,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,600,r2,0.14419287548948584,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,600,hv_2obj,52.42678444971097,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,640,hv,156535.20646354393,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,640,r2,0.14419287548948584,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,640,hv_2obj,52.42678444971097,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,680,hv,156701.95586222995,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,680,r2,0.14395991556896287,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,680,hv_2obj,52.47788881062658,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,720,hv,157099.62853904665,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,720,r2,0.1435130078649382,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,720,hv_2obj,52.5446907606641,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,760,hv,157106.60716315507,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,760,r2,0.1435130078649382,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,760,hv_2obj,52.54498197242013,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,800,hv,157112.037071604,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,800,r2,0.1435130078649382,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,800,hv_2obj,52.54498197242013,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,840,hv,157114.75074834572,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,840,r2,0.1435130078649382,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,840,hv_2obj,52.54498197242013,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,880,hv,157117.58535158346,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,880,r2,0.1435130078649382,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,880,hv_2obj,52.54498197242013,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,920,hv,158143.9079911831,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,920,r2,0.1411500603539634,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,920,hv_2obj,52.90582725946901,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,960,hv,158150.52774443015,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,960,r2,0.1411500603539634,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,960,hv_2obj,52.90582725946901,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1000,hv,158153.90310307726,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1000,r2,0.1411500603539634,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1000,hv_2obj,52.90582725946901,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1040,hv,158157.63046715004,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1040,r2,0.1411500603539634,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1040,hv_2obj,52.90582725946901,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
sms-emoa,cifar10,FGSM,1080,hv,158158.10167883663,results/sms-emoa/cifar10/2026-09-04_20-03-01_18906049/search/
