Key,Value
max_f1,2.0476748678419323
max_f2,2.310245160703306
max_f3,54.3811
max_f4,0.1666
min_f1,1.717086981844019
min_f2,2.077221252300121
min_f3,9.3906
min_f4,0.0228
hyp_log,"[142558.0827221025, 142620.25993901465, 142995.04076752928, 143207.42173716708, 143832.1093759055, 144370.64851306126, 144594.39577528814, 144655.6012209491, 145104.2379471636, 145403.18038804265, 145572.35292818525, 145951.81885545602, 146434.62520712003, 146739.44469915263, 147005.27766218918, 147224.10758246548, 147704.44492059798, 147973.5455116181, 148070.00588539345, 148255.24730541828, 148452.5663879135, 148690.67541192996, 148794.0098721078, 149080.47851837575, 149388.15058181016, 149420.2414325154, 149649.38867911187, 149747.1936317488, 149967.05345558163, 150107.85153030936, 150237.30216892227]"
hyp2_log,"[48.15497508195581, 48.17711401408153, 48.30315665011239, 48.37460831351288, 48.58590109343648, 48.768297223586856, 48.84392165799671, 48.85819771074697, 49.01052769072281, 49.110500149790965, 49.16737954092367, 49.29515502946918, 49.45915893783091, 49.45942153614733, 49.5497845238748, 49.623037390778464, 49.642587961496154, 49.73427575672103, 49.76443554343385, 49.826831020831634, 49.89248361807594, 49.972363220059954, 50.00634491235604, 50.102229301123906, 50.188951299202394, 50.199500463225846, 50.27684609368396, 50.3097777844706, 50.325655177530805, 50.373459762286124, 50.41719864329594]"
r2_log,"[np.float64(0.16923107946308683), np.float64(0.16909063036077251), np.float64(0.16838298994123302), np.float64(0.16794622687386307), np.float64(0.16683092024275226), np.float64(0.16577140701556495), np.float64(0.1652619925517176), np.float64(0.16517750990090369), np.float64(0.16437869186341472), np.float64(0.16377484959330119), np.float64(0.1634405381139314), np.float64(0.16277769245673154), np.float64(0.16186180108948117), np.float64(0.16186180108948117), np.float64(0.16134291225416872), np.float64(0.16094193143365074), np.float64(0.1608121701376492), np.float64(0.1603431600964132), np.float64(0.16015192939264905), np.float64(0.15977820227303308), np.float64(0.1594417017876157), np.float64(0.15903156968500765), np.float64(0.1588143636382927), np.float64(0.15832065035197035), np.float64(0.157895226531452), np.float64(0.15782648619689787), np.float64(0.15737207658069483), np.float64(0.1571730597721513), np.float64(0.15709810484632056), np.float64(0.15680472264925446), np.float64(0.15659680315052535)]"
lr_log,[]
