Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[142683.22810826203, 143022.71142710542, 143278.57999558002, 144197.5298125493, 144442.995996453, 144641.2621105326, 144889.73247554243, 145393.93876147244, 145468.28417661975, 145895.33680487445, 146482.00300278678, 146613.0955179497, 147034.6954525397, 147198.72878771753, 147487.52249376813, 147584.63484275906, 147734.047662468, 148241.84419783417, 148535.1651598562, 148900.20348050998, 148926.730553342, 149324.53821885175, 149487.93209987012, 149503.1713834098, 149858.05767234543, 149962.80561768654, 150272.75431781932, 150437.88266506584, 150556.53932868445, 150630.82456882903, 150828.23050553031]"
hyp2_log,"[48.19839244039316, 48.31353459711124, 48.40085154287485, 48.58569145740166, 48.670204283740595, 48.73013461779154, 48.81340526760675, 48.985476111988326, 49.00855947755344, 49.14969582558976, 49.19406668732754, 49.2373653577361, 49.38036191915373, 49.43549621271123, 49.53153895843321, 49.549486290569895, 49.59939749050579, 49.71148352346867, 49.810699783361834, 49.93305633620526, 49.93339379247865, 50.068869334761345, 50.1233444028453, 50.126347461044766, 50.24661331246003, 50.28173032330261, 50.38736869156495, 50.44223522388069, 50.48170045889804, 50.507092298860385, 50.57370915733202]"
r2_log,"[np.float64(0.1689565708412328), np.float64(0.16829642246661422), np.float64(0.16787665829158924), np.float64(0.1668236261530099), np.float64(0.16631590922285489), np.float64(0.16596986314400178), np.float64(0.16547847629828033), np.float64(0.1645677969239429), np.float64(0.1644589579779481), np.float64(0.16365174853801262), np.float64(0.16335885212163231), np.float64(0.16306956030616543), np.float64(0.16237987323811087), np.float64(0.1620431096021685), np.float64(0.1614931808973416), np.float64(0.16140308999893435), np.float64(0.16107280350814093), np.float64(0.16050567013677686), np.float64(0.15986664504801334), np.float64(0.1592306298933284), np.float64(0.1592306298933284), np.float64(0.1584748707180488), np.float64(0.15820374807143509), np.float64(0.1581877204044137), np.float64(0.15755469708271036), np.float64(0.15732272079343304), np.float64(0.15676716424564188), np.float64(0.15643703228429745), np.float64(0.15624969835817887), np.float64(0.15612951200407393), np.float64(0.15571742743754474)]"
