Key,Value
max_f1,0
max_f2,0
max_f3,0
max_f4,0
min_f1,inf
min_f2,inf
min_f3,inf
min_f4,inf
hyp_log,"[175056.32323037303, 175117.404938544, 175767.19789187773, 175831.75968679498, 176656.25873576125, 177751.97311960722, 177762.58271308255, 177767.36300816885, 177776.97717577117, 177806.2813999847, 177813.47362523267, 177833.43825025347, 177839.534556684, 178298.23152601358, 178300.60074697714]"
hyp2_log,"[35.74802988654964, 35.75329451406312, 35.75675849393427, 35.75880729353284, 35.76116347735059, 35.76454362767169, 35.7666566408337, 35.76756482983426, 35.76948550126957, 35.77542641876688, 35.77689392572689, 35.77849914270223, 35.779723928317715, 35.7808547980681, 35.78131751587657]"
r2_log,"[np.float64(0.0034935264508404963), np.float64(0.0034564876886048457), np.float64(0.003268245124364938), np.float64(0.0032378307661419248), np.float64(0.0030058697245364), np.float64(0.002735267638704218), np.float64(0.0027226915652819703), np.float64(0.002717633950010065), np.float64(0.002705962336443922), np.float64(0.0026569720023500608), np.float64(0.002650327051657601), np.float64(0.0026410223383894907), np.float64(0.0026346881570059434), np.float64(0.0025603806725045496), np.float64(0.0025576678256688896)]"
