Key,Value
max_f1,0.008974701524353944
max_f2,0.01639688827861578
max_f3,44.0796
max_f4,0.133
min_f1,0.005455258302390575
min_f2,0.009000210497432794
min_f3,11.7212
min_f4,0.0302
hyp_log,"[176629.29019012302, 176772.1668578492, 176773.07188529236, 176804.61410129635, 176804.87656868002, 176804.95640204527, 176855.38090619133, 177088.4284765162, 177278.43299981352, 177278.43308502223, 177319.10736510405, 177319.1154176389, 177319.1154176389, 177454.5221762351, 177473.64065425604, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64387455044, 177473.64854660255, 177473.64854660255, 177595.64715046642, 177595.70424115972, 177595.70424115972, 177962.10284594126, 177962.10284594126]"
hyp2_log,"[35.912441581065536, 35.912441581065536, 35.9125742261927, 35.919084622872454, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022, 35.91908485667022]"
r2_log,"[0.002198436813148007, 0.002148029204544848, 0.0021452962724427095, 0.0020995441839309374, 0.0020925122925015715, 0.0020892611977769253, 0.002072989239802667, 0.002001996797506629, 0.0019506518036129371, 0.0019506518036129371, 0.001937566869254656, 0.001937566869254656, 0.001937566869254656, 0.001895274921002678, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018919698783779447, 0.0018609052086146708, 0.001859929327038705, 0.001859929327038705, 0.001755322527769216, 0.001755322527769216]"
lr_log,[]
hyp2_acc_log,"[2426.6555976742275, 2426.6555976742275, 2426.6555976742275, 2507.2582799145302, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797, 2508.9793669871797]"
hyp_acc_log,"[11899809.390831592, 11906848.715863395, 11909352.543818405, 12308025.364790408, 12326496.467262162, 12326954.000044866, 12329478.475875359, 12351513.727228455, 12359584.00461428, 12359667.041619126, 12363186.409275943, 12363240.817242838, 12363240.817242838, 12367658.53853949, 12370911.956236817, 12371041.00916795, 12371041.00916795, 12371041.00916795, 12371041.00916795, 12371041.00916795, 12371178.72734668, 12371178.72734668, 12371236.824422864, 12371383.307817452, 12371383.307817452, 12376936.302642679, 12377955.282439966, 12377955.282439966, 12392294.055541182, 12392294.055541182]"
