Key,Value
max_f1,0.06769740654107852
max_f2,0.04273624762128561
max_f3,152.6927
max_f4,0.5028
min_f1,0.012105533413780041
min_f2,0.021944492902511204
min_f3,43.8374
min_f4,0.1364
hyp_log,"[163464.9432157928, 163977.1541477054, 163982.98296328046, 163983.11660487796, 163983.61043964708, 165286.2174266136, 165315.24354694338, 165315.24393140973, 165712.73904362327, 165798.11226689568, 165824.9740688632, 165831.5932661498, 165831.5932661498, 165831.5932661498, 166363.89010518006]"
hyp2_log,"[35.774408692669816, 35.77999829414668, 35.78131631445425, 35.78131631445425, 35.78131631445425, 35.78131631445425, 35.78676618964596, 35.78676626952056, 35.78746803189191, 35.78844137659134, 35.79402551362317, 35.79544367180481, 35.79544367180481, 35.79544367180481, 35.79596486093766]"
r2_log,"[0.007032881170027355, 0.006833350300198546, 0.0068284419567118835, 0.0068284419567118835, 0.0068284419567118835, 0.0064069217594707, 0.006363203877342833, 0.006363203877342833, 0.006228732638843699, 0.006198928208488458, 0.006178128170266769, 0.006168123612948243, 0.006168123612948243, 0.006168123612948243, 0.006008760958886311]"
total_time_search,79067.04736328125
