Key,Value
max_f1,2.343738644211381
max_f2,2.302325301700168
max_f3,47.4547
max_f4,0.1483
min_f1,1.7286001002347027
min_f2,1.9255330606743142
min_f3,11.3772
min_f4,0.0307
hyp_log,"[148306.5477384674, 150067.19977066616, 150476.227094085, 150494.74035064655, 150851.99277036995, 150851.99277036995, 151434.04948633528, 151463.05770909254, 151463.05770909254, 151887.91294728193, 151887.91294728193, 151894.07146957927, 151897.07951568227, 151901.2562251403, 152069.91248268416, 152069.91248268416, 152069.91278195818, 152073.49346101077, 152079.99570605974, 152083.01421946712, 152085.12424652916, 152085.12424652916, 152085.12424652916, 152085.52813299643, 152085.80916130022, 152085.80916130022, 152426.56616013337, 152426.56616013337, 152429.43459408075, 152429.43459408075, 152429.44109393077]"
hyp2_log,"[50.54839288109329, 51.02457923244604, 51.095540498196016, 51.09623260130959, 51.10314039901362, 51.10314039901362, 51.10374560256439, 51.11361656522388, 51.11361656522388, 51.25653553082034, 51.25653553082034, 51.25672073935713, 51.25677214395629, 51.25677214395629, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.316831044066824, 51.438463650246334, 51.438463650246334, 51.438463650246334, 51.438463650246334, 51.438463650246334]"
hyp2_acc_log,"[859.0700000000004, 941.9255999999999, 945.3935999999999, 946.2936, 946.2936, 946.2936, 946.2936, 1014.0636000000002, 1014.0636000000002, 1024.1436, 1024.1436, 1024.1436, 1024.1436, 1024.1436, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532, 1025.3532]"
r2_log,"[np.float64(0.1192416460210727), np.float64(0.11710613869572786), np.float64(0.1168054996234176), np.float64(0.11679545503365026), np.float64(0.11676492125155435), np.float64(0.11676492125155435), np.float64(0.11676492125155435), np.float64(0.11672163811721444), np.float64(0.11672163811721444), np.float64(0.11609860682636494), np.float64(0.11609860682636494), np.float64(0.11609860682636494), np.float64(0.11609860682636494), np.float64(0.11609860682636494), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11583967342304598), np.float64(0.11529309064666735), np.float64(0.11529309064666735), np.float64(0.11529309064666735), np.float64(0.11529309064666735), np.float64(0.11529309064666735)]"
total_time_search,18069.4624812603
